ORGANIZATION_ETXT,NSM_CD,NOTE_ETXT,NOTES_FTXT,PSTREET,PCITY,PPROVINCE,PPOSTAL,PCOUNTRY,MSTREET,MCITY,MPROVINCE,MPOSTAL,MCOUNTRY,CLASS_TYPE_ETXT,CLASS_ETXT,CLASS_TYPE_FTXT,CLASS_FTXT
C.E.M. Heavy Equipment Ltd.,Y70,,,,,,,,'A' Twp Rd 110,Taber,Alberta,T1G 1W7,CANADA,Trailer,Trailer - Medium Duty [Standard],Remorque,Remorque moyenne [Standard]
C.E.M. Heavy Equipment Ltd.,Y70,,,,,,,,'A' Twp Rd 110,Taber,Alberta,T1G 1W7,CANADA,Trailer,Trailer - Utility [Standard],Remorque,Remorque utilitaire [standard]
C.T. Soudure Inc.,L72,,,"7700, rg St-Andr??",Saint-Hyacinthe,Quebec,J2S 8B1,CANADA,"7700, rg St-Andr??",Saint-Hyacinthe,Quebec,J2S 8B1,CANADA,Trailer,Trailer - Utility [Standard],Remorque,Remorque utilitaire [standard]
CAMIONS EXCELLENCE PETERBILT INC.,R63,,,1041 rue Nobel,Ste-Julie,Quebec,J3E 1Z4,CANADA,1041 rue Nobel,Ste-Julie,Quebec,J3E 1Z4,CANADA,Incomplete Vehicle,Intermediate Stage -- Body and Equipment,Incomplete Vehicle - not translated,Intermediate Stage -- Body and Equipment (not translated)
CAMIONS EXCELLENCE PETERBILT INC.,R63,,,1041 rue Nobel,Ste-Julie,Quebec,J3E 1Z4,CANADA,1041 rue Nobel,Ste-Julie,Quebec,J3E 1Z4,CANADA,Incomplete Vehicle,Intermediate Stage -- Wheelbase Alternation,Incomplete Vehicle - not translated,Intermediate Stage -- Wheelbase Alternation (not translated)
CAMIONS EXCELLENCE PETERBILT INC.,R63,,,1041 rue Nobel,Ste-Julie,Quebec,J3E 1Z4,CANADA,1041 rue Nobel,Ste-Julie,Quebec,J3E 1Z4,CANADA,Truck Body,Final Stage - Body and Equipment,Camion,Fab. Finale - Carrosseries et ??quipements
CAMIONS EXCELLENCE PETERBILT INC.,R63,,,1041 rue Nobel,Ste-Julie,Quebec,J3E 1Z4,CANADA,1041 rue Nobel,Ste-Julie,Quebec,J3E 1Z4,CANADA,Truck Body,Final Stage - Wheelbase Alterations,Camion,Fab. Finale - Modifications d'empattement
CAMIONS EXCELLENCE PETERBILT INC.,R63,,,1041 rue Nobel,Ste-Julie,Quebec,J3E 1Z4,CANADA,1041 rue Nobel,Ste-Julie,Quebec,J3E 1Z4,CANADA,Truck Body,Vehicle Alterer  - Body and Equipment,Camion,Modificateur de v??hicule -  Installation de carrosseries ou d'??quipements
CAMIONS EXCELLENCE PETERBILT INC.,R63,,,1041 rue Nobel,Ste-Julie,Quebec,J3E 1Z4,CANADA,1041 rue Nobel,Ste-Julie,Quebec,J3E 1Z4,CANADA,Truck Body,Vehicle Alterer - Wheelbase alterations,Camion,Modificateur de v??hicule - Modifications d'empattement
CAMIONS EXCELLENCE PETERBILT INC. (DRUMMONDVILE),R63,,,5705 Place Kubota,Drummondville,Quebec,J2B 6V4,CANADA,,,,,,Truck Body,Final Stage - Body and Equipment,Camion,Fab. Finale - Carrosseries et ??quipements
