Licence number,Licence Type,Status,Date licence issued,Date licence expires,Vehicle Type,Vehicle Registration Number,Vehicle Colour,Operator/Association
198,Hackney Carriage Vehicle,Licence Issued,10/06/15 0:00,9/06/16 0:00,Toyota Avensis,X88AWA,B/W,City Cabs
199,Hackney Carriage Vehicle,Licence Issued,9/05/15 0:00,8/05/16 0:00,Volkswagen Jetta,NV57LNW,B/W,City Cabs
2,Hackney Carriage Vehicle,Licence Issued,14/08/15 0:00,13/08/16 0:00,Honda Accord,SG57XOA,B/W,Streamline/Telecabs
20,Hackney Carriage Vehicle,Licence Issued,18/02/15 0:00,17/02/16 0:00,Volkswagen Passat,YR10XTA,B&W,Independent Hackney Carriage
200,Hackney Carriage Vehicle,Licence Issued,22/07/15 0:00,21/07/16 0:00,Skoda Octavia,EA60AKG,B/W,Streamline/Telecabs
201,Hackney Carriage Vehicle,Licence Issued,23/08/15 0:00,22/08/16 0:00,Toyota Avensis,CA58BYG,Black/White,City Cabs
202,Hackney Carriage Vehicle,Licence Issued,1/01/15 0:00,31/12/15 0:00,Skoda Octavia,RJ57XOK,BLACK/WHITE,Streamline/Telecabs
203,Hackney Carriage Vehicle,Licence Issued,1/02/15 0:00,31/01/16 0:00,Vauxhall Vectra,S40AFF,B&W,Independent Hackney Carriage
204,Hackney Carriage Vehicle,Licence Issued,31/07/15 0:00,30/07/16 0:00,Mercedes C250,ML62AEA,BLACK,Independent Hackney Carriage
205,Hackney Carriage Vehicle,Licence Issued,10/09/15 0:00,9/09/16 0:00,Toyota Avensis,YR59EFZ,B/W,City Cabs
206,Hackney Carriage Vehicle,Licence Issued,4/11/15 0:00,3/11/16 0:00,Toyota Avensis,MT61OVW,WHITE,Streamline/Telecabs
207,Hackney Carriage Vehicle,Licence Issued,31/01/15 0:00,30/01/16 0:00,Skoda Octavia,YD09SYU,BLACK/WHITE,Independent Hackney Carriage
208,Hackney Carriage Vehicle,Licence Issued,4/03/15 0:00,3/03/16 0:00,Toyota Avensis,FL60CXT,B&W,Eurocabs
209,Hackney Carriage Vehicle,Licence Issued,20/08/15 0:00,19/08/16 0:00,Skoda Octavia,RX59HHS,White/black,City Cabs
21,Hackney Carriage Vehicle,Licence Issued,1/11/15 0:00,31/10/16 0:00,Toyota Avensis,HJ08VHM,B/W,Station Taxis
210,Hackney Carriage Vehicle,Licence Issued,1/01/15 0:00,31/12/15 0:00,Skoda Octavia,HV57ULP,B&W,Station Taxis
211,Hackney Carriage Vehicle,Licence Issued,1/01/15 0:00,31/12/15 0:00,Skoda Octavia,SE07UHD,BLACK/WHITE,Station Taxis
212,Hackney Carriage Vehicle,Licence Issued,1/11/15 0:00,31/10/16 0:00,Volkswagen Passat,MV08UGS,B & W,Streamline/Telecabs
213,Hackney Carriage Vehicle,Licence Issued,3/06/15 0:00,2/06/16 0:00,Vauxhall Vectra,AF58EYJ,Black/White,Streamline/Telecabs
214,Hackney Carriage Vehicle,Licence Issued,28/05/15 0:00,27/05/16 0:00,Honda Accord,L33DSY,Black,Streamline/Telecabs
215,Hackney Carriage Vehicle,Licence Issued,3/12/14 0:00,2/12/15 0:00,Mercedes 220,F4ROK,BLACK/WHITE,City Cabs
216,Hackney Carriage Vehicle,Licence Issued,1/11/15 0:00,31/10/16 0:00,Skoda Superb,FG57VZY,BLACK/WHITE,Eurocabs
217,Hackney Carriage Vehicle,Licence Issued,22/09/15 0:00,21/09/16 0:00,Volkswagen Passat,DV59NFT,B/W,Independent Hackney Carriage
218,Hackney Carriage Vehicle,Licence Issued,11/10/15 0:00,10/10/16 0:00,Volkswagen Passat,VN58LLG,BLACK/WHITE,Streamline/Telecabs
219,Hackney Carriage Vehicle,Licence Issued,1/05/15 0:00,30/04/16 0:00,Skoda Octavia,S2LTN,B & W,Streamline/Telecabs
22,Hackney Carriage Vehicle,Licence Issued,1/11/15 0:00,31/10/16 0:00,Skoda Octavia,V4REF,B & W,Independent Private Hire
220,Hackney Carriage Vehicle,Licence Issued,6/03/15 0:00,5/03/16 0:00,Vauxhall Vectra,MF08UXZ,BLACK,Streamline/Telecabs
221,Hackney Carriage Vehicle,Licence Issued,24/04/15 0:00,23/04/16 0:00,Toyota Avensis,LN59XTK,B&W,Eurocabs
222,Hackney Carriage Vehicle,Licence Issued,29/06/15 0:00,28/06/16 0:00,Toyota Avensis,RAM24N,B & W,Streamline/Telecabs
223,Hackney Carriage Vehicle,Licence Issued,1/08/15 0:00,31/07/16 0:00,Vauxhall Vectra,CE58JNO,B/W,Streamline/Telecabs
224,Hackney Carriage Vehicle,Licence Issued,25/03/15 0:00,24/03/16 0:00,Volkswagen Passat,ML11UZM,B/W,Streamline/Telecabs
225,Hackney Carriage Vehicle,Licence Issued,26/03/15 0:00,25/03/16 0:00,Volkswagen Jetta,MF59WYZ,BLACK/WHITE,City Cabs
226,Hackney Carriage Vehicle,Licence Issued,1/07/15 0:00,30/06/16 0:00,Skoda Octavia,B2LUS,BLACK/WHITE,Streamline/Telecabs
227,Hackney Carriage Vehicle,Licence Issued,6/02/15 0:00,5/02/16 0:00,Vauxhall Insignia,MF59VAO,B&W,Independent Hackney Carriage
228,Hackney Carriage Vehicle,Licence Issued,18/05/15 0:00,17/05/16 0:00,Vauxhall Vectra,DV58YVK,Black,Independent Hackney Carriage
229,Hackney Carriage Vehicle,Licence Issued,1/05/15 0:00,30/04/16 0:00,Skoda Octavia,HV58KMU,B/W,City Cabs
23,Hackney Carriage Vehicle,Licence Issued,1/11/15 0:00,31/10/16 0:00,Skoda Octavia,YG56BHY,B/W,Independent Hackney Carriage
230,Hackney Carriage Vehicle,Licence Issued,15/01/15 0:00,14/01/16 0:00,Volkswagen Jetta,YR59OWF,BLACK/WHITE,Independent Hackney Carriage
231,Hackney Carriage Vehicle,Licence Issued,28/11/14 0:00,27/11/15 0:00,Vauxhall Vectra,DN08CCU,B/W,Independent Hackney Carriage
232,Hackney Carriage Vehicle,Licence Issued,11/07/15 0:00,10/07/16 0:00,Vauxhall Vectra,DS08TWJ,B/W,City Cabs
233,Hackney Carriage Vehicle,Licence Issued,1/09/15 0:00,31/08/16 0:00,Toyota Avensis,MV61JCU,B/W,Streamline/Telecabs
