status,id,name,address,latitude,longitude,region1,type_id,type_name,notes,product1,product2,product3,service1,service2,service3,service4,service5,region2,region3
Published,182,7-Eleven Zillmere,"Zillmere Road, corner Handford Road, Zillmere, Brisbane North",-27.3595,153.038,Brisbane North,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,412,Airtrain Domestic Terminal (Brisbane Airport),"Airport Drive, Airport (Brisbane), Brisbane East",-27.3852,153.119,Brisbane,1,Standard retailer,,go card,SEEQ card,Visitor Information Pack,Buy,Top up,Refund,Change expiry date,,Brisbane,
Published,413,Airtrain International Terminal (Brisbane Airport),"Airport Drive, Airport (Brisbane), Brisbane East",-27.403,153.109,Brisbane,1,Standard retailer,,go card,SEEQ card,Visitor Information Pack,Buy,Top up,Refund,Change expiry date,,Brisbane,
Archived,31,Albert Street News,"80 Albert Street, Brisbane , Brisbane Central",-27.4721,153.028,Brisbane Central,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,2,Albion Station,"49 Albion Road, Albion, Brisbane North",-27.429438,153.040021,Brisbane North,5,Rail fare machine,,go card,,,Buy,Top up,Register,Refund,Change expiry date,Brisbane,
Published,196,Albion Station,"49 Albion Road, Albion, Brisbane North",-27.429409,153.040021,Brisbane North,6,Rail ticket office,,,,,Top up,,,,,Brisbane,
Published,534,Alderley Licensed Post Office,"19 Samford Road, Alderley, Queensland, Australia",-27.424959,153.000265,Brisbane North,1,Standard retailer,,go card,,,Buy,,,,,,
Published,391,Alderley Station,"Railway Place, Alderley, Brisbane North",-27.423443,153.000987,Brisbane North,5,Rail fare machine,,go card,,,Buy,Top up,Register,Refund,Change expiry date,Brisbane,
Published,197,Alderley Station,"Railway Place, Alderley, Brisbane North",-27.423433,153.000987,Brisbane North,6,Rail ticket office,,,,,Top up,,,,,Brisbane,
Published,650,Alexpress Mart,"98-110 Alexandra Parade, Alexandra Headland, Sunshine Coast",-26.66553,153.105607,Sunshine Coast,1,Standard retailer,,go card,,,Buy,,,,,,
Published,392,Altandi Station,"125 Mains Road, Sunnybank, Brisbane South",-27.58269,153.063397,Brisbane South,5,Rail fare machine,,go card,,,Buy,Top up,Register,Refund,Change expiry date,Brisbane,
Published,198,Altandi Station,"125 Mains Road, Sunnybank, Brisbane South",-27.582671,153.063376,Brisbane South,6,Rail ticket office,,,,,Top up,,,,,Brisbane,
Published,1006,Aquarius Backpackers,"44 Queen Street, Southport, Queensland, Australia",-27.973494,153.415458,,2,Preloaded reseller,,Gold Coast go explore card,,,Buy,,,,,Gold Coast,
Published,726,Ascot News,"3/71 Racecourse Road, Ascot, Queensland, Australia",-27.436058,153.064916,Brisbane North,1,Standard retailer,,go card,,,Buy,,,,,Brisbane,
Published,199,Ascot Station,"McGill Avenue, Ascot (Brisbane City), Brisbane North",-27.429214,153.063238,Brisbane North,6,Rail ticket office,,,,,Top up,,,,,Brisbane,
Published,4,Ashgrove News,"Ashgrove Shopping Centre, 16 Ashgrove Avenue, Ashgrove, Brisbane North",-27.4447,152.994,Brisbane North,1,Standard retailer,,go card,,,Buy,Top up,Change expiry date,,,,
Published,701,Ashmore City News,"Shop 10, Ashmore City Shopping Centre, Southport-Nerang and Currumburra Roads, Ashmore, Gold Coast",-27.977936,153.38047,Gold Coast,1,Standard retailer,,go card,,,Buy,,,,,,
Published,1166,Ashmore Newsextra,"160 Cotlew Street, Ashmore, Queensland, Australia",-27.9871,153.383257,,2,Preloaded reseller,,go card,Gold Coast go explore card,,Buy,,,,,Gold Coast,
